client_uuid,loan_uuid,contract_date,initial_loan_amount,loan_end_date,original_loan_end_date,current_principal_outstanding,days_past_due,segment
201,2130,2019-04-21,232209,2022-04-21,2022-04-21,109692.74,0,Prime
113,2131,2023-07-03,597218,2028-07-03,2028-07-03,399868.61,0,Standard
1199,2132,2022-07-15,691234,2024-07-15,2024-07-15,242148.43,0,high risk 
540,2133,2019-01-09,7951650,2023-01-09,2023-01-09,7072528.6,0,prime
1954,2134,2020-02-08,117243,2021-02-08,2021-02-08,56065.34,0,Prime
416,2135,2023-03-09,412338,2026-03-09,2026-03-09,97637.74,0,Prime
1091,2136,2020-05-09,2865024,2025-05-09,2025-05-09,2783256.49,242,High Risk
634,2137,2020-02-25,9839497,2021-02-25,2021-02-25,2180358.13,168,High Risk
495,2138,2023-03-28,470736,2024-03-28,2024-03-28,436230.89,0,STANDARD
313,2139,2023-07-13,458139,2028-07-13,2028-07-13,398099.64,58,prime
1047,2140,2022-09-23,738675,2024-06-21,2024-03-23,673159.2,0,Standard
176,2141,2021-02-15,77543,2022-02-15,2022-02-15,30724.59,219,High Risk
407,2142,2019-02-10,660710,2024-02-10,2024-02-10,183423.45,0,Prime
567,2143,2021-02-22,17562349,2024-02-22,2024-02-22,14566701.13,0, subprime
293,2144,2023-02-02,6285256,2027-02-02,2027-02-02,1628959.84,0,Prime
1977,2145,2020-09-08,732410,2021-09-08,2021-09-08,633555.01,0,Standard
129,2146,2019-12-19,164547,2020-12-19,2020-12-19,52158.64,0,Prime
1813,2147,2020-01-15,82413,2024-01-15,2024-01-15,57712.43,218,High Risk
1181,2148,2019-02-25,399971,2024-02-25,2024-02-25,341585.68,0,Standard
1171,2149,2021-12-12,116206,2027-03-12,2026-12-12,78777.81,212,High Risk
153,2150,2019-12-12,735101,2022-12-12,2022-12-12,628815.24,0,Standard
189,2151,2023-06-20,3964255,2028-06-20,2028-06-20,3230448.67,0,Standard
523,2152,2022-08-05,877026,2024-05-05,2024-02-05,790912.93,0,high risk 
1595,2153,2020-07-19,147955,2024-07-19,2024-07-19,64155.25,0,Prime
137,2154,2023-10-22,221528,2027-01-20,2026-10-22,167100.39,0,Standard
1148,2155,2023-09-13,152700,2026-09-13,2026-09-13,116709.37,0,Standard
219,2156,2023-08-14,16230244,2026-11-12,2026-08-14,5793255.08,0,Prime
891,2157,2022-08-02,689962,2023-08-02,2023-08-02,177223.82,0,Prime
1479,2158,2020-07-12,749890,2024-07-12,2024-07-12,483144.57,0,STANDARD
94,2159,2021-04-29,168099,2025-04-29,2025-04-29,112712.09,0, subprime
1146,2160,2021-10-24,119076,2023-10-24,2023-10-24,26639.51,0,Prime
410,2161,2020-11-03,1683359,2022-02-01,2021-11-03,747928.86,0,Prime
1801,2162,2021-03-29,549746,2023-03-29,2023-03-29,210897.96,111,STANDARD
1672,2163,2022-08-29,571966,2027-08-29,2027-08-29,560914.19,0,Standard
441,2164,2021-05-23,93065,2023-05-23,2023-05-23,69258.98,188,High Risk
1928,2165,2023-03-28,10885644,2025-03-28,2025-03-28,9014314.57,0,Standard
109,2166,2021-10-28,2231595,2026-01-26,2025-10-28,1410734.31,0,
1476,2167,2022-11-15,723414,2027-02-13,2026-11-15,707940.78,220,
1329,2168,2021-11-11,5651871,2023-11-11,2023-11-11,4206152.98,0,Standard
1020,2169,2020-09-24,465622,2025-12-23,2025-09-24,176888.54,0,Prime
221,2170,2020-08-31,746057,2022-11-29,2022-08-31,696295.96,0,Standard
571,2171,2022-08-15,557957,2027-08-15,2027-08-15,294028.96,0,Standard
1584,2172,2019-08-24,595803,2022-08-24,2022-08-24,261990.81,0,Prime
350,2173,2023-08-17,57821,2024-11-15,2024-08-17,49267.01,0,Standard
17,2174,2020-01-26,3102839,2022-01-26,2022-01-26,2389174.43,0,Standard
1145,2175,2023-04-03,513784,2026-04-03,2026-04-03,139377.56,0,Prime
371,2176,2019-11-06,16552488,2023-11-06,2023-11-06,6162133.83,0,Unknown
1593,2177,2023-10-07,503128,2025-10-07,2025-10-07,282073.48,0,prime
1091,2178,2022-03-19,2366097,2024-03-19,2024-03-19,689326.79,243,Unknown
330,2179,2020-10-20,12119766,2025-10-20,2025-10-20,3797602.06,0,Prime
1309,2180,2021-08-26,9297126,2022-08-26,2022-08-26,5169386.27,0,Standard
1817,2181,2021-06-30,693106,2022-12-30,2022-12-30,452984.65,0,Standard
1896,2182,2021-10-22,8104073,2024-10-22,2024-10-22,3890134.77,6,Unknown
701,2183,2019-02-24,5446801,2020-08-24,2020-08-24,1299681.6,0,STANDARD
310,2184,2023-01-24,649222,2028-01-24,2028-01-24,556563.43,0,Standard
627,2185,2022-12-20,2643714,2024-06-20,2024-06-20,1539711.75,0,STANDARD
1948,2186,2023-07-27,19234465,2025-07-27,2025-07-27,19148306.11,0,Standard
1101,2187,2023-07-09,263884,2025-04-09,2025-01-09,117044.47,0,Prime
919,2188,2019-05-25,2087248,2020-05-25,2020-05-25,1776629.59,47,Subprime
28,2189,2020-03-29,504785,2025-03-29,2025-03-29,130042.51,0,Prime
913,2190,2023-01-03,501941,2024-04-02,2024-01-03,464005.44,0,Standard
125,2191,2019-12-20,11206244,2021-06-20,2021-06-20,5898131.14,72,Subprime
819,2192,2023-02-15,809152,2024-02-15,2024-02-15,198128.34,0,Prime
1856,2193,2022-02-07,16733444,2025-02-07,2025-02-07,14370350.15,0,Standard
972,2194,2022-06-12,4622385,2023-06-12,2023-06-12,3329254.54,243,High Risk
222,2195,2021-09-14,638803,2025-09-14,2025-09-14,515817.82,357,High Risk
975,2196,2023-04-05,62882,2028-04-05,2028-04-05,44134.44,0,Standard
1729,2197,2019-10-24,11626446,2020-10-24,2020-10-24,6581772.05,0,Standard
675,2198,2021-03-16,30156,2026-03-16,2026-03-16,21191.94,331,High Risk
12,2199,2019-08-07,376162,2021-02-07,2021-02-07,209352.36,0,Standard
742,2200,2023-04-03,3386332,2025-04-03,2025-04-03,1637659.8,0,
750,2201,2023-11-04,1351577,2025-11-04,2025-11-04,799276.58,0,N/A
109,2202,2019-01-20,2011242,2020-01-20,2020-01-20,1081220.2,0,Standard
1850,2203,2023-09-19,83984,2025-09-19,2025-09-19,24735.01,0,Prime
1209,2204,2020-07-22,222807,2022-07-22,2022-07-22,192411.23,0,Standard
889,2205,2021-10-22,733587,2026-10-22,2026-10-22,228270.34,0,Prime
258,2206,2021-09-25,693882,2023-03-25,2023-03-25,452126.72,0,Standard
41,2207,2019-05-06,238974,2024-05-06,2024-05-06,104443.6,0,Prime
1120,2208,2019-08-24,168297,2022-08-24,2022-08-24,150559.66,0,Standard
578,2209,2021-09-24,4878726,2025-09-24,2025-09-24,2477306.94,0, subprime
46,2210,2020-01-16,2986051,2024-04-15,2024-01-16,1655893.51,16,Standard
1190,2211,2020-08-20,45949,2025-08-20,2025-08-20,10867.23,0,STANDARD
625,2212,2022-10-29,6981290,2025-10-29,2025-10-29,4536963.35,241,High Risk
591,2213,2020-12-07,65338,2022-12-07,2022-12-07,49410.91,0,high risk 
1734,2214,2021-11-27,1027170,2024-11-27,2024-11-27,553580.04,40,Subprime
1935,2215,2023-02-04,268222,2024-08-04,2024-08-04,253203.04,0,prime
1642,2216,2021-04-21,1225099,2025-07-20,2025-04-21,390504.14,0,prime
284,2217,2020-04-29,84942,2021-04-29,2021-04-29,28638.11,268,High Risk
726,2218,2021-08-24,59896,2025-08-24,2025-08-24,58372.81,127,
558,2219,2019-05-20,1686357,2020-11-20,2020-11-20,1227882.06,0,Standard
971,2220,2019-02-09,532260,2020-08-09,2020-08-09,111539.96,0,Prime
1001,2221,2020-06-21,251628,2021-06-21,2021-06-21,129647.52,0,Standard
638,2222,2020-04-02,378082,2021-04-02,2021-04-02,137302.22,0,Prime
1461,2223,2023-07-29,8790345,2025-01-29,2025-01-29,6856385.42,0,Standard
790,2224,2020-01-01,92685,2025-04-01,2025-01-01,69137.55,219,High Risk
1048,2225,2023-10-19,400073,2025-10-19,2025-10-19,189150.83,0,N/A
1132,2226,2019-12-20,99556,2024-12-20,2024-12-20,99320.41,0,Standard
1911,2227,2022-08-21,129511,2024-02-21,2024-02-21,42979.43,310,High Risk
326,2228,2020-05-27,98193,2021-11-27,2021-11-27,52242.18,0,N/A
1662,2229,2022-08-08,625489,2024-08-08,2024-08-08,165512.43,0,Prime
1374,2230,2021-09-24,473972,2023-12-23,2023-09-24,323198.57,145,High Risk
949,2231,2020-05-05,255036,2021-05-05,2021-05-05,145399.99,0,Standard
1888,2232,2021-11-18,1807238,2023-05-18,2023-05-18,1162161.18,0,STANDARD
349,2233,2023-07-14,682720,2026-07-14,2026-07-14,304882.21,0,Prime
172,2234,2020-10-20,649069,2025-10-20,2025-10-20,329956.99,0,STANDARD
525,2235,2023-07-12,1798457,2027-07-12,2027-07-12,816774.84,0, subprime
829,2236,2023-10-15,9394083,2028-10-15,2028-10-15,4153507.61,155,High Risk
1025,2237,2020-12-17,355838,2025-12-17,2025-12-17,352577.15,71,STANDARD
106,2238,2023-06-26,593462,2026-09-24,2026-06-26,501967.01,0,high risk 
1654,2239,2019-08-28,63496,2021-02-28,2021-02-28,36113.55,24,STANDARD
1481,2240,2019-07-23,4649629,2024-07-23,2024-07-23,1729321.05,0,Prime
83,2241,2020-11-26,240800,2023-11-26,2023-11-26,139296.45,0,Standard
1305,2242,2020-04-18,21189010,2025-04-18,2025-04-18,5260764.14,0,Prime
1741,2243,2022-01-24,12847982,2025-01-24,2025-01-24,10281099.21,106,N/A
891,2244,2022-04-11,440797,2027-07-10,2027-04-11,150259.8,0,Prime
1713,2245,2020-05-04,7843769,2021-11-04,2021-11-04,3499619.23,0,Prime
643,2246,2023-03-27,699186,2024-06-25,2024-03-27,434264.17,23,Standard
146,2247,2021-10-12,83637,2026-10-12,2026-10-12,54586.38,150,
316,2248,2019-01-02,1744454,2020-07-02,2020-07-02,589698.82,0,Prime
1999,2249,2023-07-11,1038752,2024-10-09,2024-07-11,577645.07,178,
1175,2250,2023-02-18,2520989,2025-02-18,2025-02-18,2343986.3,0,prime
496,2251,2020-05-19,405969,2022-05-19,2022-05-19,124022.86,0,
1300,2252,2020-03-14,71265,2023-03-14,2023-03-14,21104.37,163,prime
1727,2253,2022-01-31,3222024,2023-01-31,2023-01-31,1488437.06,0,Prime
416,2254,2019-11-17,573956,2022-11-17,2022-11-17,352672.28,0,Standard
728,2255,2023-03-25,3741633,2027-03-25,2027-03-25,3529390.64,0,Standard
516,2256,2019-04-01,7595864,2023-04-01,2023-04-01,3744431.79,0, subprime
988,2257,2023-01-27,556965,2024-07-27,2024-07-27,116229.66,0,prime
103,2258,2023-06-24,228640,2027-09-22,2027-06-24,110882.34,0,Prime
1436,2259,2021-08-27,55081,2022-08-27,2022-08-27,23210.04,0, subprime
1155,2260,2023-06-14,2343838,2024-12-14,2024-12-14,789478.25,0,Unknown
134,2261,2019-09-08,19813947,2024-09-08,2024-09-08,17108565.42,177,High Risk
1105,2262,2022-12-09,217621,2025-03-09,2024-12-09,127485.97,66,prime
637,2263,2021-07-11,19641546,2024-10-09,2024-07-11,17162347.28,0,STANDARD
1902,2264,2023-03-04,243957,2027-03-04,2027-03-04,152887.91,122, subprime
860,2265,2019-06-17,5931839,2023-06-17,2023-06-17,3531194.14,0,prime
1033,2266,2022-09-16,5502252,2024-03-16,2024-03-16,2440853.08,0, subprime
1308,2267,2023-07-25,2134185,2025-01-25,2025-01-25,1002604.11,0,prime
1966,2268,2019-10-13,823193,2024-10-13,2024-10-13,214590.84,0,Prime
665,2269,2020-07-15,367562,2024-07-15,2024-07-15,130954.77,130, subprime
987,2270,2021-08-22,11239910,2024-08-22,2024-08-22,7823632.27,0,Standard
1135,2271,2021-01-20,750578,2026-04-20,2026-01-20,547204.39,0,N/A
162,2272,2020-05-24,205222,2021-05-24,2021-05-24,175613.41,0,high risk 
541,2273,2019-10-11,132615,2022-10-11,2022-10-11,77043.31,0, subprime
1227,2274,2022-07-17,473029,2023-07-17,2023-07-17,310456.11,0,Standard
771,2275,2019-02-23,388760,2021-02-23,2021-02-23,94791.09,0,Prime
775,2276,2022-01-31,222216,2026-05-01,2026-01-31,158222.38,0,Standard
1288,2277,2021-05-05,141681,2022-08-03,2022-05-05,88524.48,0,Standard
1509,2278,2019-06-15,1921530,2023-06-15,2023-06-15,1588087.69,96,High Risk
1464,2279,2020-07-25,580497,2022-01-25,2022-01-25,362160.8,0, subprime
972,2280,2022-09-04,4367803,2026-09-04,2026-09-04,2181139.09,146,High Risk
719,2281,2020-12-07,421606,2025-12-07,2025-12-07,255078.84,0,Standard
710,2282,2019-07-25,1711694,2023-07-25,2023-07-25,362146.95,138,High Risk
1442,2283,2023-07-21,2374934,2028-07-21,2028-07-21,2112599.54,0,Standard
846,2284,2019-02-20,3524503,2023-02-20,2023-02-20,1053294.49,0,Unknown
1659,2285,2022-09-24,57739,2027-09-24,2027-09-24,57395.86,202,High Risk
590,2286,2023-05-03,807760,2027-05-03,2027-05-03,553381.21,129,High Risk
1144,2287,2021-04-26,4613720,2022-10-26,2022-10-26,2661601.98,0,Standard
827,2288,2023-05-25,312599,2027-08-23,2027-05-25,88391.09,0, subprime
308,2289,2019-08-02,293688,2021-08-02,2021-08-02,148341.91,0,Standard
40,2290,2019-02-16,299084,2020-02-16,2020-02-16,121245.48,0,Prime
426,2291,2022-08-14,860436,2027-08-14,2027-08-14,665724.21,22,Standard
852,2292,2023-12-12,426396,2025-12-12,2025-12-12,388028.87,0,Standard
1072,2293,2023-10-30,119132,2026-10-30,2026-10-30,77240.85,0,high risk 
1107,2294,2022-03-07,102875,2024-03-07,2024-03-07,65539.39,266,High Risk
1743,2295,2022-05-25,137074,2024-05-25,2024-05-25,56337.68,0,Prime
1050,2296,2020-02-03,17004416,2024-05-03,2024-02-03,5818718.79,0,STANDARD
1496,2297,2022-02-01,2189588,2024-02-01,2024-02-01,2118332.05,31,high risk 
775,2298,2019-08-30,918495,2022-08-30,2022-08-30,652765.02,11,Standard
1190,2299,2023-07-12,41095,2025-10-10,2025-07-12,23187.91,160,High Risk
1993,2300,2020-10-08,463326,2021-10-08,2021-10-08,264021.43,276, subprime
1924,2301,2022-03-01,3489624,2026-03-01,2026-03-01,2221142.82,0, subprime
475,2302,2023-05-02,8184413,2027-05-02,2027-05-02,4756015.39,0,Standard
1453,2303,2021-06-09,859211,2022-06-09,2022-06-09,643897.81,0,Standard
1904,2304,2022-08-27,1963872,2024-11-25,2024-08-27,1527601.41,0,Standard
1604,2305,2019-05-02,256173,2022-05-02,2022-05-02,197133.43,0,Standard
830,2306,2021-10-27,916230,2024-10-27,2024-10-27,476642.3,0,Standard
291,2307,2020-03-21,500438,2021-12-20,2021-09-21,230826.35,0,STANDARD
345,2308,2022-07-30,236161,2024-01-30,2024-01-30,114737.91,227, subprime
1807,2309,2023-07-10,14516675,2027-07-10,2027-07-10,13093507.8,0,Standard
887,2310,2020-09-23,2209564,2025-09-23,2025-09-23,1991732.97,0,Standard
1913,2311,2023-04-24,365856,2027-04-24,2027-04-24,316525.24,0,Standard
1670,2312,2019-11-22,365817,2020-11-22,2020-11-22,268889.62,0,Standard
151,2313,2019-11-11,389944,2023-11-11,2023-11-11,278828.67,179,High Risk
144,2314,2020-03-24,36860,2024-03-24,2024-03-24,29320.82,344,High Risk
716,2315,2022-10-30,744664,2026-10-30,2026-10-30,699845.34,1,Unknown
1801,2316,2022-10-18,483186,2024-10-18,2024-10-18,356312.76,24, subprime
970,2317,2021-07-30,993471,2025-07-30,2025-07-30,298824.41,0,Unknown
1662,2318,2021-03-31,163539,2025-06-29,2025-03-31,72019.38,0,N/A
1475,2319,2021-01-12,117260,2022-01-12,2022-01-12,33878.98,224,high risk 
1766,2320,2023-05-25,3944112,2025-02-23,2024-11-25,3308765.03,0,Standard
659,2321,2019-07-19,13894213,2021-01-19,2021-01-19,8671520.12,0,Standard
515,2322,2023-03-23,1968204,2026-03-23,2026-03-23,1699283.39,0,Standard
1395,2323,2020-11-30,623780,2022-08-29,2022-05-31,554875.31,304,prime
1559,2324,2021-07-01,3979108,2025-09-29,2025-07-01,2169864.86,0,Standard
631,2325,2020-03-07,793214,2022-03-07,2022-03-07,789201.29,0,STANDARD
1341,2326,2021-12-02,11437299,2022-12-02,2022-12-02,10683012.06,0,Standard
1476,2327,2021-04-27,367482,2024-07-26,2024-04-27,296654.03,0,Standard
1593,2328,2020-04-05,421560,2023-04-05,2023-04-05,95205.03,163, subprime
1352,2329,2019-08-11,8424162,2023-08-11,2023-08-11,2459789.98,0,Prime
408,2330,2020-08-07,226883,2025-11-05,2025-08-07,60072.41,0,Prime
649,2331,2019-07-01,15816950,2020-07-01,2020-07-01,6304462.32,129,
1309,2332,2020-12-17,5969917,2024-12-17,2024-12-17,2855435.44,0,Prime
115,2333,2021-01-13,3582176,2025-01-13,2025-01-13,1633875.54,0,Prime
1436,2334,2023-05-24,116348,2025-08-22,2025-05-24,102666.25,0,Standard
1877,2335,2023-04-10,409987,2028-04-10,2028-04-10,146347.89,0,prime
1621,2336,2022-10-28,444720,2025-10-28,2025-10-28,346934.56,295,high risk 
1268,2337,2019-04-06,2484885,2021-04-06,2021-04-06,2310566.23,0,Standard
1699,2338,2019-09-07,427858,2020-09-07,2020-09-07,323293.47,0,Standard
1635,2339,2021-06-20,4019696,2022-06-20,2022-06-20,1435292.48,0,Prime
1344,2340,2020-01-10,249149,2024-01-10,2024-01-10,97589.53,155,High Risk
390,2341,2022-11-27,340453,2027-11-27,2027-11-27,115916.3,0, subprime
1722,2342,2023-07-25,75533,2025-07-25,2025-07-25,37867.5,0,N/A
137,2343,2021-10-01,261690,2023-04-01,2023-04-01,190445.23,74,high risk 
750,2344,2019-05-01,3083757,2022-05-01,2022-05-01,1976700.11,0,Standard
1122,2345,2020-04-16,651881,2024-04-16,2024-04-16,283383.73,278,prime
191,2346,2020-01-09,16925267,2024-04-08,2024-01-09,3958185.53,0,Prime
1281,2347,2019-06-26,496624,2021-06-26,2021-06-26,442743.65,0,Standard
1895,2348,2021-01-26,106038,2025-01-26,2025-01-26,70148.7,182,High Risk
852,2349,2023-06-17,149959,2024-12-17,2024-12-17,94342.19,0,Standard
342,2350,2019-02-04,4096140,2020-02-04,2020-02-04,1011689.15,0,Prime
647,2351,2021-05-20,178341,2023-05-20,2023-05-20,57524.89,222,High Risk
1423,2352,2021-03-07,6809038,2022-09-07,2022-09-07,5441127.82,262,
1154,2353,2020-07-03,9512363,2022-01-03,2022-01-03,2312138.58,0,Prime
408,2354,2022-05-28,690493,2025-05-28,2025-05-28,559137.05,0,
1381,2355,2022-08-23,803330,2026-08-23,2026-08-23,199434.45,0,Prime
82,2356,2019-06-21,188031,2022-06-21,2022-06-21,176492.29,0,Standard
1515,2357,2020-02-10,375691,2022-02-10,2022-02-10,271680.91,230,High Risk
1055,2358,2022-04-05,66593,2023-10-05,2023-10-05,57911.55,0,Standard
712,2359,2019-11-03,668986,2021-05-03,2021-05-03,570942.13,0,high risk 
159,2360,2020-08-08,181439,2023-08-08,2023-08-08,58425.32,44,Subprime
1640,2361,2019-04-03,64434,2023-04-03,2023-04-03,15233.72,173,High Risk
466,2362,2019-01-23,12121869,2024-01-23,2024-01-23,6148631.3,0,Standard
323,2363,2020-07-08,139923,2022-10-06,2022-07-08,134090.47,0,Standard
1608,2364,2022-02-23,457370,2023-08-23,2023-08-23,160712.6,0,Prime
1131,2365,2020-09-04,7625571,2025-09-04,2025-09-04,4999423.07,0,Standard
1066,2366,2022-10-13,2602291,2024-10-13,2024-10-13,780053.72,44,Subprime
213,2367,2023-07-14,17251226,2024-07-14,2024-07-14,3899115.11,0,Prime
432,2368,2021-11-27,47787,2026-02-25,2025-11-27,15339.12,0,Prime
1044,2369,2021-04-28,794953,2022-10-28,2022-10-28,415706.5,0,Standard
1196,2370,2019-06-21,688306,2022-06-21,2022-06-21,344349.31,0,Standard
780,2371,2023-03-05,8816381,2025-06-03,2025-03-05,5536824.78,0,prime
799,2372,2021-10-08,1416446,2023-07-07,2023-04-08,1317013.79,140,High Risk
1638,2373,2023-02-08,671674,2024-08-08,2024-08-08,325262.67,0,Prime
1805,2374,2019-06-16,808962,2022-06-16,2022-06-16,781015.06,0,Standard
1618,2375,2021-06-27,4488309,2022-12-27,2022-12-27,3547893.72,0,Standard
1237,2376,2021-07-12,957294,2024-07-12,2024-07-12,408654.71,304,High Risk
1732,2377,2019-07-29,662750,2020-07-29,2020-07-29,354639.25,0,Standard
1639,2378,2021-07-29,230333,2022-10-27,2022-07-29,196115.5,0,Standard
45,2379,2021-10-24,179771,2022-10-24,2022-10-24,66363.02,204,High Risk
584,2380,2023-04-30,359630,2025-01-29,2024-10-31,133942.15,0,Prime
9,2381,2019-11-08,193362,2020-11-08,2020-11-08,70168.63,0,Prime
1458,2382,2020-04-01,7754187,2022-04-01,2022-04-01,6290561.35,0,Standard
554,2383,2019-04-07,954030,2023-04-07,2023-04-07,648532.35,0,
128,2384,2023-08-17,10822787,2027-08-17,2027-08-17,10312984.35,0,Standard
1375,2385,2023-05-21,731248,2024-05-21,2024-05-21,595824.61,0,
1975,2386,2020-11-13,416165,2025-11-13,2025-11-13,269011.62,0,Standard
1709,2387,2021-06-23,48576,2026-06-23,2026-06-23,42249.56,146,High Risk
1643,2388,2022-07-21,668777,2027-07-21,2027-07-21,410221.51,295, subprime
1088,2389,2020-09-01,396106,2024-11-30,2024-09-01,131773.74,0,Prime
1318,2390,2023-11-21,829866,2024-11-21,2024-11-21,363455.94,0,Prime
592,2391,2019-06-23,1692836,2020-06-23,2020-06-23,784656.38,0,Prime
1739,2392,2020-11-28,20963298,2023-11-28,2023-11-28,14975894.32,0,Standard
1302,2393,2019-10-21,573066,2021-10-21,2021-10-21,216708.42,0,high risk 
1076,2394,2022-09-22,918066,2024-03-22,2024-03-22,212460.5,0,Prime
1316,2395,2020-07-03,286739,2022-07-03,2022-07-03,227969.88,0,N/A
1912,2396,2019-09-13,4562821,2022-09-13,2022-09-13,1259558.78,0,Prime
609,2397,2022-09-15,814779,2023-09-15,2023-09-15,367627.94,61,Subprime
101,2398,2020-03-30,1145917,2024-03-30,2024-03-30,991544.27,0,Standard
882,2399,2023-07-09,245995,2027-10-07,2027-07-09,169937.43,0,Standard
203,2400,2022-05-06,368303,2026-08-04,2026-05-06,203571.64,0,Standard
538,2401,2022-03-17,64498,2027-06-15,2027-03-17,25429.82,0,Prime
1541,2402,2021-03-07,906960,2026-03-07,2026-03-07,350477.38,237,High Risk
1086,2403,2019-04-11,3835735,2020-10-11,2020-10-11,3706657.95,57,prime
1895,2404,2021-02-03,55937,2024-02-03,2024-02-03,33993.62,0,Standard
1819,2405,2020-11-04,2035719,2022-05-04,2022-05-04,1864214.91,0,Standard
1593,2406,2022-08-07,640977,2023-08-07,2023-08-07,346868.46,85,Subprime
725,2407,2019-01-28,18197045,2024-01-28,2024-01-28,15561784.82,27,Standard
968,2408,2023-04-09,464388,2028-04-09,2028-04-09,291278.88,0, subprime
760,2409,2021-11-11,389117,2024-11-11,2024-11-11,295713.38,0,Standard
665,2410,2019-08-15,601452,2023-08-15,2023-08-15,136458.6,0,Prime
877,2411,2020-10-16,132854,2022-10-16,2022-10-16,78029.53,86,Subprime
1335,2412,2023-09-23,114409,2024-12-22,2024-09-23,75591.74,0,Standard
1686,2413,2022-06-29,4472883,2024-06-29,2024-06-29,1105215.29,14,Standard
1171,2414,2023-08-13,134187,2026-08-13,2026-08-13,117576.97,0,Standard
168,2415,2019-03-11,6922178,2021-03-11,2021-03-11,6755736.56,0,Standard
1720,2416,2022-06-12,5227392,2027-06-12,2027-06-12,5217730.02,82,N/A
1260,2417,2021-02-13,3189842,2022-08-13,2022-08-13,2955914.64,0,Standard
1183,2418,2023-06-16,745873,2024-06-16,2024-06-16,485737.12,0,Standard
354,2419,2022-08-19,345917,2027-08-19,2027-08-19,127190.86,0,Prime
804,2420,2021-05-13,491246,2025-08-11,2025-05-13,224592.15,0,Prime
403,2421,2019-05-20,12516877,2020-05-20,2020-05-20,3425780.82,0,
736,2422,2020-11-12,3254667,2021-11-12,2021-11-12,1784680.37,0,Standard
156,2423,2022-06-23,910033,2023-06-23,2023-06-23,774817.52,0,Standard
1317,2424,2022-10-22,225004,2027-10-22,2027-10-22,46912.67,38,Subprime
882,2425,2022-05-21,315545,2023-11-21,2023-11-21,230369.73,139,
1998,2426,2021-05-03,387982,2023-05-03,2023-05-03,159180.38,0,Prime
1438,2427,2022-11-23,378036,2025-11-23,2025-11-23,321085.22,57,Subprime
1065,2428,2021-09-18,47033,2022-09-18,2022-09-18,44967.81,317,High Risk
1702,2429,2022-03-31,584854,2023-03-31,2023-03-31,541351.51,0,Standard
779,2430,2023-10-22,175167,2026-01-20,2025-10-22,121549.5,77,Subprime
1839,2431,2019-05-13,526124,2020-05-13,2020-05-13,205959.79,0,Prime
1121,2432,2020-02-04,916297,2024-05-04,2024-02-04,684418.1,20,Unknown
1510,2433,2021-05-01,280548,2022-05-01,2022-05-01,169360.56,0,high risk 
300,2434,2022-05-31,126035,2024-05-31,2024-05-31,123573.44,227,High Risk
1921,2435,2021-05-14,200618,2025-05-14,2025-05-14,180965.95,128,high risk 
1100,2436,2023-03-20,397079,2027-06-18,2027-03-20,209120.25,0,Standard
573,2437,2021-10-27,617109,2025-10-27,2025-10-27,578253.34,183,High Risk
37,2438,2022-01-30,145425,2023-07-30,2023-07-30,77942.76,0,Standard
1410,2439,2023-02-27,331716,2028-02-27,2028-02-27,235787.53,0,Standard
863,2440,2019-08-24,565897,2021-02-24,2021-02-24,222017.08,0, subprime
525,2441,2021-07-09,2756048,2026-07-09,2026-07-09,603902.97,36,Subprime
1208,2442,2022-07-29,11208232,2027-07-29,2027-07-29,4339528.61,0,Prime
1956,2443,2019-01-05,419246,2020-01-05,2020-01-05,131124.06,0,N/A
53,2444,2023-05-26,6250768,2027-05-26,2027-05-26,2833788.05,0,Prime
796,2445,2023-06-02,620904,2024-12-02,2024-12-02,438409.45,0, subprime
302,2446,2022-08-27,4386447,2025-11-25,2025-08-27,915880.97,310,High Risk
1200,2447,2019-09-11,285307,2021-09-11,2021-09-11,174051.78,0, subprime
640,2448,2022-02-02,6442994,2024-02-02,2024-02-02,4143216.79,82,Subprime
1603,2449,2019-07-09,1448243,2021-01-09,2021-01-09,763772.5,0,Standard
855,2450,2020-11-12,472545,2025-11-12,2025-11-12,180490.56,0,Prime
319,2451,2019-12-22,10283637,2020-12-22,2020-12-22,7938757.38,0,Standard
779,2452,2019-12-23,199655,2021-12-23,2021-12-23,68792.69,98,High Risk
715,2453,2022-02-27,314544,2024-02-27,2024-02-27,254756.36,0,Standard
335,2454,2021-07-20,237041,2022-10-18,2022-07-20,126402.46,0,
1814,2455,2020-11-13,610520,2022-11-13,2022-11-13,576500.12,308,High Risk
44,2456,2020-12-16,120709,2022-12-16,2022-12-16,107592.93,0,Standard
337,2457,2022-07-10,690160,2024-07-10,2024-07-10,455631.65,0,prime
265,2458,2020-04-15,8143536,2023-04-15,2023-04-15,6169915.79,0,Standard
825,2459,2022-05-01,86226,2026-05-01,2026-05-01,55993.63,0,Standard
1669,2460,2022-06-20,487871,2023-12-20,2023-12-20,390090.12,0,Standard
1057,2461,2019-05-18,727279,2020-05-18,2020-05-18,594788.88,0,Standard
228,2462,2023-11-08,219309,2028-11-08,2028-11-08,61339.06,62,
1618,2463,2023-08-13,1290486,2026-08-13,2026-08-13,444337.89,0,Prime
390,2464,2023-03-18,543084,2027-03-18,2027-03-18,226004.76,0,N/A
987,2465,2021-01-24,13078331,2026-01-24,2026-01-24,5698356.53,0,Prime
1319,2466,2021-10-11,344650,2022-10-11,2022-10-11,197029.45,0,Standard
